cleaned_tweet,label
rt mayasolovely woman shouldnt complain cleaning house man always take trash,True
rt mleew boy dats coldtyga dwn bad cuffin dat hoe st place,False
rt urkindofbrand dawg rt sbabylife ever fuck bitch start cry confused shit,False
rt cganderson vivabased look like tranny,False
rt shenikaroberts shit hear might true might faker bitch told ya,False
tmadisonx shit blows meclaim faithful somebody still fucking hoes,False
brighterdays sit hate another bitch got much shit going,False
selfiequeenbri cause im tired big bitches coming us skinny girls,False
might get ya bitch back thats,False
rhythmixx hobbies include fighting mariam bitch,False
keeks bitch curves everyone lol walked conversation like smh,False
murda gang bitch gang land,False
hoes smoke losers yea go ig,False
bad bitches thing like,False
bitch get,False
bitch nigga miss,False
bitch plz whatever,False
bitch love,False
bitches get cut everyday b,False
black bottle bad bitch,False
broke bitch cant tell nothing,False
cancel bitch like nino,False
cant see hoes wont change,False
fuck bitch dont even suck dick kermit videos bout fuck ig,False
got ya bitch tip toeing hardwood floors,False
pussy lips like heaven doors,False
hoe hitting,False
met pussy ocean dr gave pussy pill,False
need trippy bitch fuck hennessy,False
spend money want bitch business,False
txt old bitch new bitch pussy wetter,False
id say im back old old bitches would get excited,False
aint bout murder game pussy nigga shut,False
youre toes aint done pussy stinks,False
im done bitter bitches wrap angry bird theres app,False
ya bitch,False
aint nothing cut bitch,False
jus meet son ya mane ass bitches shots,False
lames crying hoes thats tears clown,False
like snoop said dont love hoes,False
momma said pussy cats inside doghouse,True
hated hoes favorite mw sevenone,False
nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick,False
pimps pimps hoes future voice,False
post picture pussy get likes,False
pussy powerful drug happyhumpday,False
quick piece pussy call drive,False
running round like brand new pussy thats bout get fucked,False
bitches even worst theyll send guys,False
hoes like niggas spend money talk bout,False
dont trust niggas bitches,False
yall niggas b cuffing hoes cause yall aint never bitches,False
dodge bullet darealkha da bitches cut pregnant bound thank god,False
young pill chamberlain bitches love music,False
vandalsavage teanna trump probably cleaner twitter hoes,False
dahomiefuzz gay niggas couldnt wait act like bitches tonight,False
theparadox ima steal cat n replace pitbull rt sbabylife theparadox bitch,False
hes gone always hoe,False
son bitch took tic tacs like movie,False
wanna get money fuck model bitches russell simmons,False
seniorprobs probably wouldnt mind school much didnt deal bitch ass teachers retweet,False
axdemery im fucking fag said,False
arizzleindacut females think dating pussy cute stuff make pussy,False
addictedguys simplyaddictedtoguys woof woof hot scally lad,True
adorebellaaa ya ever asked bitch bitches kanye voice yes,False
adorezoey u gone bring ur side bitch game know ya gf friends swear,False
allaboutmanfeet woof woof hot soles,True
allyhaaaaa lemmie eat oreo dishes one oreo lol,True
almightywayne jetsandaswisher gook bitch fuck u maybe youll get better,False
almightywayne fuck red malone man bitch ass niggah could please use complete sentences,False
arizonasfinest eggplant emoji doey say looked like scream lmao,True
autoworid hennessey venom gt thats one sexy bitch,False
bossbytchh seh pussy wetter shower curtainahmesehwetness,False
brohen eaglesnation every eagles need see pic posted bitch said racist shit,False
bvsedchink yo fuck skateboarding yall wood pushing faggots man ball life amjemiebenn,False
babyanimalpics baby monkey bathtime soooo adorable,True
baylaagottabody aint shit damn skippy lol,False
beeasyjrizzy u ever kill ant sidewalk think damn nigga way get pussyno bs must b chance,False
